h_type	date	adress	loc	num_floor	unit_per_floor	price	age	statuse	view	doc_status	north	sought	west	east	floor	area	num_sleep	tel	kitch	service	floor_covering	open	parking	warehouse	balcony	equipment
آپارتمان	1402/06/12	هروی پناهی نیا	4	6	3	13,050,000,000 تومان	2	تخلیه	سنگ	شخصي	1	0	0	0	4	87	2	1	MDF	ايراني فرنگي	سنگ	1	1	1	0	شوفاژ_کولر_آسانسور_گاز
آپارتمان	1402/05/28	تهران پارس فلكه 4 خ 222	4	4	2	5,500,000,000 تومان	20	مسکونی	گرانيت	شخصي	0	1	0	0	3	73	2	1	MDF	ايرانی	سراميک	1	1	1	0	شوفاژ_کولر_گاز
آپارتمان	1402/06/12	تهران پارس بلوار پروین خ 188	4	5	2	9,900,000,000 تومان	12	مسکونی	سنگ	شخصي	0	1	0	0	4	90	2	1	MDF	ايراني فرنگي	سراميک	0	0	1	0	شوفاژ_کولر_آسانسور_گاز
آپارتمان	1402/06/12	تهران پارس فرجام شرقی	4	4	1	9,000,000,000 تومان	30	مسکونی	سنگ	شخصي	0	0	1	0	1	100	2	1	MDF	ايراني فرنگي	سنگ	1	1	1	0	شوفاژ_کولر_پاسیو_پکیج_گاز
آپارتمان	1402/06/12	هروی حسین آباد	4	11	12	15,480,000,000 تومان	نوساز	تخلیه	سنگ	دردست اقدام	1	0	0	0	3	129	2	1	MDF	ايراني فرنگي	سنگ	1	1	1	0	شوفاژ_کولر_آسانسور_گاز
آپارتمان	1402/06/09	تهران پارس بلوار پروین خ 218	4	4	2	5,350,000,000 تومان	12	مسکونی	سنگ	شخصي	0	1	0	0	4	78	2	1	MDF	ايرانی	سراميک	1	0	1	0	کولر_آسانسور_پکیج_گاز
آپارتمان	1402/06/11	تهران پارس بلوار پروین ك 184	4	4	2	3,600,000,000 تومان	18	مسکونی	سنگ	شخصي	0	1	0	0	1	60	2	1	MDF	ايرانی	سراميک	1	1	1	0	کولر_گاز
آپارتمان	1402/06/13	حكیمیه خ لریجانی	4	6	2	9,500,000,000 تومان	3	مسکونی	سنگ	شخصي	1	0	0	0	1	113	2	1	MDF	ايراني فرنگي	سنگ	1	1	1	1	کولر_آسانسور_گاز
آپارتمان	1402/05/26	تهرانپارس فلكه چهارم خ توحید	4	4	1	9,250,000,000 تومان	20	مسکونی	سنگ	شخصي	1	1	0	0	4	85	2	1	MDF	ايراني فرنگي	پارکت	1	1	1	1	شوفاژ_کولر_گاز
آپارتمان	1402/06/14	سراج خ بهار	4	5	2	6,500,000,000 تومان	1	اجاره	سنگ	شخصي	0	1	0	0	1	83	2	1	MDF	ايراني فرنگي	سراميک	1	1	0	1	شوفاژ_کولر_آسانسور_پکیج_گاز
آپارتمان	1402/06/08	شمس اباد خ منصوری	4	5	6	6,700,000,000 تومان	30	تخلیه	سنگ	شخصي	1	0	0	0	3	83	2	1	MDF	ايرانی	سراميک	1	1	1	0	شوفاژ_کولر_آسانسور_پکیج_گاز
آپارتمان	1402/05/31	فرجام غربی نرسیده به سراج	4	6	4	6,000,000,000 تومان	4	تخلیه	سنگ	شخصي	0	1	0	0	5	55	1	1	MDF	ايراني فرنگي	سنگ	1	1	0	1	شوفاژ_کولر_آسانسور_پکیج_گاز
آپارتمان	1402/05/29	تهران پارس بین فلكه 3و4	4	5	2	13,000,000,000 تومان	نوساز	تخلیه	سنگ	شخصي	0	1	0	0	2	100	2	1	MDF	ايراني فرنگي	سراميک	1	1	1	1	کولر_آسانسور_پکیج_گاز
آپارتمان	1402/06/13	حكیمیه سازمان آب	4	4	3	100,000,000 تومان	22	تخلیه	سنگ	شخصي	1	0	0	0	2	50	1	1	MDF	فرنگی	سراميک	1	1	1	1	شوفاژ_کولر_پکیج_گاز
آپارتمان	1402/06/08	هروی حسین اباد	4	5	2	15,500,000,000 تومان	9	تخلیه	سنگ	شخصي	1	0	0	0	1	138	3	1	MDF	ايراني فرنگي	پارکت	1	1	1	1	شوفاژ_کولر_آسانسور_پکیج_گاز
آپارتمان	1402/06/08	نیروی دریائی كوچه صادقی	4	6	2	9,765,000,000 تومان	1	تخلیه	سنگ	شخصي	0	1	0	0	2	93	2	1	هایگلاس	ايراني فرنگي	سنگ	1	1	1	1	کولر_آسانسور_گاز
آپارتمان	1402/06/01	فرجام غربی خ عبادی	4	5	2	14,000,000,000 تومان	2	مسکونی	سنگ	شخصي	1	0	0	0	2	130	3	1	MDF	ايراني فرنگي	لامنيت	1	1	1	1	شوفاژ_کولر_آسانسور_پکیج_گاز
آپارتمان	1402/06/04	تهرانپارس بین طاهری و عادل	4	5	2	10,000,000,000 تومان	8	مسکونی	سنگ	شخصي	1	0	0	0	3	92	2	1	هایگلاس	ايراني فرنگي	سراميک	1	1	1	1	شوفاژ_کولر_آسانسور_پکیج_گاز
آپارتمان	1402/05/30	بزرگراه رسالت خ شهید كرد	4	5	2	13,300,000,000 تومان	نوساز	تخلیه	سنگ	شخصي	0	1	0	0	مختلف	95	2	1	MDF	ايراني فرنگي	سنگ	1	1	1	1	شوفاژ_کولر_آسانسور_گاز
آپارتمان	1402/06/01	هنگام شمیران نو	4	4	1	3,200,000,000 تومان	13	اجاره	سنگ	قولنامه اي	1	0	0	0	3	90	2	1	MDF	ايرانی	سراميک	1	0	0	0	کولر_گاز
آپارتمان	1402/06/02	تهرانپارس خ استخر خ صفائی فراهانی	4	5	1	15,000,000,000 تومان	نوساز	تخلیه	ترکیبی	شخصي	1	1	0	0	3	150	3	1	چوبي	ايراني فرنگي	سراميک	1	1	1	1	کولر_آسانسور_پکیج_گاز
آپارتمان	1402/06/04	تهرانپارس خ 152شرقی	4	6	3	15,000,000,000 تومان	3	اجاره	سنگ	دردست اقدام	0	1	1	0	5	125	3	1	MDF	ايراني فرنگي	سنگ	1	1	1	1	شوفاژ_کولر_آسانسور_پکیج_گاز
آپارتمان	1402/06/02	اتوبان بابایی شهرك البرز	4	10	8	7,500,000,000 تومان	6	مسکونی	سنگ	تعاوني	0	1	0	0	7	93	2	1	MDF	ايراني فرنگي	سراميک	1	1	1	1	شوفاژ_کولر_آسانسور_گاز
آپارتمان	1402/05/30	تهرانپارس میدان پروین خ 184	4	5	4	4,450,000,000 تومان	8	تخلیه	سنگ	شخصي	0	1	0	0	2	55	1	1	MDF	ايراني فرنگي	سراميک	1	1	1	0	کولر_آسانسور_پکیج_گاز
آپارتمان	1402/06/12	تهران پارس بلوارپروین خ 184	4	4	2	4,550,000,000 تومان	18	اجاره	سنگ	شخصي	0	1	0	0	4	76	2	1	MDF	ايرانی	سراميک	1	0	1	0	کولر_گاز
آپارتمان	1402/06/09	تهرانپارس خ استخر	4	4	4	5,700,000,000 تومان	10	تخلیه	سنگ	شخصي	1	1	0	0	3	67	1	1	MDF	ايرانی	سنگ	1	1	1	1	شوفاژ_کولر_آسانسور_گاز
آپارتمان	1402/06/04	تهرانپارس استخر	4	5	3	5,250,000,000 تومان	12	تخلیه	سنگ	شخصي	1	0	0	0	2	76	2	1	هایگلاس	ايراني فرنگي	سراميک	1	1	1	0	شوفاژ_کولر_آسانسور_پکیج_گاز
آپارتمان	1402/06/14	حكیمیه خ پیام	4	5	2	10,200,000,000 تومان	4	مسکونی	سنگ	شخصي	0	1	0	0	5	120	3	1	MDF	ايراني فرنگي	سنگ	1	1	1	1	شوفاژ_کولر_آسانسور_پکیج_گاز
آپارتمان	1402/06/14	هروی ساقدوش بوستان	4	6	3	35,000,000,000 تومان	2	اجاره	سنگ	شخصي	1	1	0	0	2	205	3	1	MDF	ايراني فرنگي	سنگ	1	1	1	0	کولر_آسانسور_گاز
آپارتمان	1402/05/31	جشنواره خ زهدی	4	4	2	4,135,000,000 تومان	15	مسکونی	سنگ	شخصي	0	1	0	0	4	67	1	1	MDF	ايرانی	سراميک	1	1	1	0	کولر_گاز
آپارتمان	1402/06/14	تهرانپارس بلوار پروین خ 218 شرقی	4	5	2	8,640,000,000 تومان	نوساز	تخلیه	سنگ	شخصي	0	0	1	0	4	108	2	1	MDF	ايراني فرنگي	سنگ	1	1	1	1	شوفاژ_کولر_آسانسور_پکیج_گاز
آپارتمان	1402/06/07	تهرانپارس بلوار پروین خ 212	4	4	1	2,300,000,000 تومان	10	تخلیه	سنگ	شخصي	0	1	0	0	4	40	1	1	MDF	ايراني فرنگي	سراميک	1	0	0	0	شوفاژ_کولر_گاز
آپارتمان	1402/06/06	تهران پارس بلوار پروین خ 192	4	4	2	4,200,000,000 تومان	17	مسکونی	سنگ	شخصي	0	1	0	0	3	58	2	1	MDF	ايرانی	سراميک	1	1	1	0	کولر_گاز
آپارتمان	1402/06/13	شمس آباد میدان ملت	4	5	2	20,000,000,000 تومان	7	تخلیه	سنگ	شخصي	1	0	0	0	4	100	2	1	MDF	ايراني فرنگي	موکت	1	1	1	1	شوفاژ_کولر_آسانسور_گاز
آپارتمان	1402/06/01	هنگام شمیران نو	4	5	1	1,300,000,000 تومان	12	مسکونی	سنگ	قولنامه اي	1	0	0	0	زیرهمكف	45	1	1	MDF	ايرانی	سراميک	1	0	0	0	کولر_گاز
آپارتمان	1402/06/01	شمس آباد خ شهید كرد	4	5	2	7,100,000,000 تومان	12	تخلیه	سنگ	شخصي	1	1	0	0	5	68	2	1	MDF	ايراني فرنگي	سراميک	1	1	1	1	شوفاژ_کولر_آسانسور_پکیج_گاز
آپارتمان	1402/05/29	اتوبان بابایی شهرك اركیده	4	18	10	6,150,000,000 تومان	6	مسکونی	سيمان	تعاوني	0	1	0	0	3	75	1	1	MDF	ايرانی	سراميک	1	1	1	1	شوفاژ_کولر_آسانسور_گاز
آپارتمان	1402/06/14	شمس آباد میدان بهشتی	4	4	2	5,150,000,000 تومان	25	اجاره	کنيتکس	شخصي	1	0	0	0	4	61	1	1	MDF	ايرانی	سراميک	1	0	1	1	کولر_گاز
آپارتمان	1402/06/12	شمس اباد خ كمالی	4	4	4	3,600,000,000 تومان	19	اجاره	سنگ	شخصي	0	1	0	0	1	50	2	1	MDF	ايراني فرنگي	سراميک	0	0	1	0	شوفاژ_کولر_گاز
آپارتمان	1402/05/28	شمس آباد خ شهید كرد	4	4	4	6,570,000,000 تومان	18	اجاره	سنگ	شخصي	1	0	0	1	2	73	2	1	MDF	ايرانی	سنگ	1	0	1	0	شوفاژ_کولر_گاز
آپارتمان	1402/06/14	تهرانپارس ك 210	4	5	3	9,720,000,000 تومان	4	مسکونی	سنگ	شخصي	1	0	0	0	4	108	2	1	MDF	ايراني فرنگي	سراميک	1	1	1	1	کولر_آسانسور_پکیج_گاز
آپارتمان	1402/06/07	خواجه عبداله خ ابوذر غفاری	4	6	4	17,400,000,000 تومان	نوساز	تخلیه	سنگ	شخصي	1	1	0	0	4	120	2	1	MDF	ايراني فرنگي	سنگ	1	1	1	1	کولر_آسانسور_چیلر_گاز
آپارتمان	1402/05/31	تهرانپارس فلكه اول خ ملكی	4	5	2	11,880,000,000 تومان	6	تخلیه	سنگ	شخصي	0	0	0	1	3	88	2	1	MDF	ايراني فرنگي	سراميک	1	1	1	0	شوفاژ_کولر_آسانسور_پکیج_گاز
آپارتمان	1402/05/30	تهرانپارس خ 144	4	5	1	18,900,000,000 تومان	15	مسکونی	سنگ	شخصي	1	0	0	0	5	140	2	1	هایگلاس	ايراني فرنگي	سنگ	1	1	1	1	شوفاژ_کولر_آسانسور_گاز
آپارتمان	1402/06/07	تهرانپارس خ 154	4	5	2	25,410,000,000 تومان	21	تخلیه	سنگ	شخصي	1	0	0	0	1	242	3	1	MDF	ايراني فرنگي	سراميک	1	1	1	1	شوفاژ_کولر_آسانسور_گاز
آپارتمان	1402/06/04	هروی گلزار	4	6	3	13,050,000,000 تومان	2	اجاره	سنگ	شخصي	0	1	0	0	5	87	2	1	MDF	ايراني فرنگي	سنگ	1	1	1	1	شوفاژ_کولر_آسانسور_گاز
آپارتمان	1402/06/08	هروی حسین آباد	4	11	3	24,832,000,000 تومان	نوساز	تخلیه	سنگ	شخصي	1	1	0	0	11	194	3	1	MDF	ايراني فرنگي	سراميک	1	1	1	1	شوفاژ_کولر_آسانسور_پکیج_گاز
آپارتمان	1402/06/01	تهران پارس خ مظفری	4	4	3	3,200,000,000 تومان	20	مسکونی	سنگ	شخصي	0	1	0	0	4	47	1	1	MDF	ايرانی	سراميک	1	0	1	0	کولر_گاز
آپارتمان	1402/05/28	اتوبان بابایی شهرك شهپریان	4	12	8	8,200,000,000 تومان	5	مسکونی	سيمان	تعاوني	0	1	0	0	6	90	2	1	MDF	ايراني فرنگي	سراميک	1	1	1	1	شوفاژ_کولر_آسانسور_گاز
آپارتمان	1402/05/31	تهران پارس بلوار پروین خ 208	4	4	3	3,500,000,000 تومان	22	مسکونی	سنگ	شخصي	0	1	0	0	2	50	1	1	MDF	ايرانی	سراميک	1	0	1	0	شوفاژ_کولر_گاز
آپارتمان	1402/05/30	حكیمیه خ سازمان آب	4	7	8	3,900,000,000 تومان	5	تخلیه	سنگ	شخصي	0	0	1	0	4	52	1	1	MDF	ايراني فرنگي	سراميک	1	0	0	0	کولر_آسانسور_پکیج_گاز
آپارتمان	1402/06/05	هروی ساقدوش	4	6	2	17,228,000,000 تومان	3	تخلیه	سنگ	شخصي	1	0	0	0	2	118	2	1	MDF	ايراني فرنگي	سنگ	1	1	1	1	شوفاژ_کولر_آسانسور_پکیج_گاز
آپارتمان	1402/06/07	تهرانپارس بلوار پروین تقاطع شفیع مكرم	4	6	3	5,700,000,000 تومان	6	مسکونی	سنگ	شخصي	1	0	0	0	3	75	1	1	MDF	ايراني فرنگي	سراميک	1	1	1	1	شوفاژ_کولر_آسانسور_گاز
آپارتمان	1402/06/14	تهرانپارس فلكه اول خ 124	4	5	3	5,300,000,000 تومان	16	مسکونی	سنگ	شخصي	0	1	0	0	3	70	2	1	هایگلاس	ايرانی	سراميک	1	0	1	0	شوفاژ_کولر_آسانسور_حیاط_گاز
آپارتمان	1402/06/01	مجیدیه شمالی خ امیرنیا شمالی	4	3	3	9,000,000,000 تومان	15	اجاره	سنگ	شخصي	1	0	0	0	2	85	2	1	MDF	ايراني فرنگي	سراميک	1	1	1	0	شوفاژ_کولر_گاز
آپارتمان	1402/06/08	جشنواره خ سیری	4	5	1	4,200,000,000 تومان	2	مسکونی	سنگ	قولنامه اي	0	1	0	0	3	90	2	1	MDF	ايرانی	سراميک	1	0	1	0	کولر_آسانسور_گاز
آپارتمان	1402/06/07	فرجام نرسیده به میدان 69	4	4	2	8,585,000,000 تومان	26	تخلیه	ترکیبی	شخصي	0	1	0	0	2	101	2	1	MDF	ايراني فرنگي	پارکت	1	1	1	0	شوفاژ_کولر_گاز
آپارتمان	1402/06/12	هنگام شمیران نو	4	4	2	1,800,000,000 تومان	نوساز	تخلیه	سنگ	قولنامه اي	0	1	0	0	همكف	50	1	1	MDF	ايرانی	سراميک	0	0	1	0	شوفاژ_کولر_گاز
آپارتمان	1402/05/29	تهرانپارس خ 108	4	5	2	6,800,000,000 تومان	12	مسکونی	سنگ	شخصي	0	1	0	0	5	68	2	1	MDF	ايراني فرنگي	سراميک	1	1	1	1	کولر_آسانسور_پکیج_گاز
آپارتمان	1402/06/04	تهران پارس خ اردیبهشت خ 196 غربی	4	4	2	5,300,000,000 تومان	20	مسکونی	سنگ	شخصي	0	1	0	0	4	84	2	1	MDF	ايرانی	سراميک	1	0	1	0	کولر_گاز
آپارتمان	1402/06/14	بنی هاشم خ مرادی	4	5	3	7,500,000,000 تومان	12	اجاره	سنگ	شخصي	1	0	0	0	4	73	2	1	MDF	ايراني فرنگي	سراميک	1	1	1	1	شوفاژ_کولر_آسانسور_گاز
آپارتمان	1402/06/09	شمس آباد بلوار بیژن	4	5	4	4,000,000,000 تومان	16	اجاره	سنگ	شخصي	1	0	0	0	2	43	1	1	MDF	ايرانی	پارکت	0	0	1	0	شوفاژ_کولر_پکیج_گاز
آپارتمان	1402/06/13	هروی حسین آباد	4	6	4	24,000,000,000 تومان	نوساز	تخلیه	سنگ	شخصي	0	1	0	0	2	150	3	1	MDF	ايراني فرنگي	سنگ	1	1	1	1	شوفاژ_کولر_آسانسور_پکیج_گاز
آپارتمان	1402/06/08	سراج خ والائیان شمالی	4	5	2	12,000,000,000 تومان	9	اجاره	سنگ	شخصي	1	1	0	0	5	102	2	1	MDF	ايراني فرنگي	سراميک	1	1	1	1	شوفاژ_کولر_آسانسور_گاز
آپارتمان	1402/05/30	تهران پارس خ رسالت بین 4راه تیرانداز و مترو	4	5	2	8,500,000,000 تومان	5	تخلیه	سنگ	شخصي	0	1	0	0	2	85	2	1	MDF	ايراني فرنگي	لامنيت	1	1	1	0	کولر_آسانسور_پکیج_گاز
آپارتمان	1402/06/14	خواجه عبداله بالاتر از پل سیدخندان	4	3	1	14,000,000,000 تومان	30	تخلیه	سنگ	شخصي	1	0	0	0	2	160	3	1	MDF	ايراني فرنگي	سنگ	1	1	1	1	شوفاژ_کولر_گاز
آپارتمان	1402/06/14	جشنواره خ زهدی خ فكری خ نقدی	4	4	1	1,500,000,000 تومان	10	مسکونی	سنگ	قولنامه اي	0	1	0	0	زیرهمكف	50	1	1	MDF	ايرانی	سراميک	1	0	0	0	کولر_پکیج_گاز
آپارتمان	1402/06/13	تهرانپارس بین باقری و ایزدپناه	4	5	3	7,800,000,000 تومان	16	مسکونی	سنگ	شخصي	1	0	0	0	4	85	2	1	MDF	ايراني فرنگي	سنگ	1	1	1	1	شوفاژ_کولر_آسانسور_گاز
آپارتمان	1402/06/06	دلاوران تكاوران	4	7	2	8,400,000,000 تومان	6	تخلیه	سنگ	شخصي	1	0	0	0	7	110	2	1	هایگلاس	ايراني فرنگي	سنگ	1	1	1	1	کولر_آسانسور_پکیج_گاز
آپارتمان	1402/06/05	تهرانپارس خ وفادار شرقی بین 133 و 135	4	5	2	10,080,000,000 تومان	2	تخلیه	سنگ	شخصي	0	1	0	0	5	126	3	1	MDF	ايراني فرنگي	سراميک	1	1	1	1	کولر_آسانسور_پکیج_گاز
آپارتمان	1402/06/01	اتوبان بابایی شهرك بهشتی	4	15	12	10,450,000,000 تومان	نوساز	تخلیه	ترکیبی	تعاوني	1	0	0	0	13	107	2	1	MDF	ايراني فرنگي	سراميک	1	1	1	0	کولر_آسانسور_پکیج_گاز
آپارتمان	1402/06/01	حكیمیه فاز 2	4	5	2	9,250,000,000 تومان	5	تخلیه	سنگ	شخصي	0	1	0	0	2	98	2	1	MDF	ايراني فرنگي	سراميک	1	1	1	0	شوفاژ_کولر_آسانسور_پکیج_گاز
آپارتمان	1402/06/05	تهرانپارس بلوار پروین خ 137	4	4	2	3,700,000,000 تومان	18	مسکونی	سنگ	شخصي	0	1	0	0	3	50	1	1	MDF	ايرانی	سنگ	0	0	1	1	کولر_گاز
آپارتمان	1402/06/05	تهران پارس بلوار پروین خ 196 شرقی خ 135 جنوبی	4	6	3	2,600,000,000 تومان	2	مسکونی	سنگ	قولنامه اي	1	0	0	0	1	60	1	1	MDF	ايرانی	سراميک	1	0	0	0	کولر_آسانسور_پاسیو_گاز
آپارتمان	1402/06/02	خ دماوند بالاترازپل باقری روبروی پمپ بنزین ترمینال شرق	4	9	8	10,000,000,000 تومان	8	اجاره	سيمان	قولنامه اي	1	0	0	0	8	100	2	1	MDF	ايراني فرنگي	سراميک	1	1	1	1	شوفاژ_کولر_آسانسور_گاز
آپارتمان	1402/06/06	تهرانپارس خ 118	4	6	2	80,000,000,000 تومان	نوساز	تخلیه	سنگ	شخصي	1	0	0	0	1و2و4و5	520	12	4	MDF	ايراني فرنگي	سنگ	1	1	1	1	شوفاژ_کولر_آسانسور_پکیج_گاز
آپارتمان	1402/06/11	جشنواره خ احسان	4	6	2	6,200,000,000 تومان	7	مسکونی	سنگ	شخصي	0	1	0	0	3	89	2	1	MDF	ايراني فرنگي	سراميک	1	1	1	1	شوفاژ_کولر_آسانسور_گاز
